 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   6:18:19
 Units: L = cm   , T = days , M = micro


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  58   -98.0400     -73.960 0.3141   0.2804E+00  0.8600E-03  0.0000E+00  0.4994E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  59   -99.7600     -72.240 0.3157   0.2986E+00  0.8745E-03  0.0000E+00  0.4488E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  60  -101.4800     -70.520 0.3172   0.3167E+00  0.8890E-03  0.0000E+00  0.3981E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  61  -103.2000     -68.800 0.3188   0.3348E+00  0.9036E-03  0.0000E+00  0.3475E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  62  -104.9200     -67.080 0.3204   0.3530E+00  0.9181E-03  0.0000E+00  0.2968E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  63  -106.6400     -65.360 0.3219   0.3711E+00  0.9326E-03  0.0000E+00  0.2462E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  64  -108.3600     -63.640 0.3235   0.3893E+00  0.9472E-03  0.0000E+00  0.1955E-03      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  65  -110.0800     -61.920 0.3251   0.4074E+00  0.9617E-03 -0.4592E-06  0.1449E-03      -1  -0.301E-07    0.00  0.0000E+00  0.0000E+00
  66  -111.8000     -60.200 0.3266   0.4256E+00  0.9762E-03  0.5134E-06  0.9423E-04      -1   0.337E-07    0.00  0.0000E+00  0.0000E+00
  67  -113.5200     -58.480 0.3284   0.4565E+00  0.9919E-03  0.9726E-06  0.4358E-04      -1   0.638E-07    0.00  0.0000E+00  0.0000E+00
  68  -115.2400     -56.760 0.3302   0.4896E+00  0.1008E-02 -0.5581E-06  0.0000E+00      -1  -0.366E-07    0.00  0.0000E+00  0.0000E+00
  69  -116.9600     -55.040 0.3320   0.5227E+00  0.1024E-02 -0.5581E-06  0.0000E+00      -1  -0.366E-07    0.00  0.0000E+00  0.0000E+00
  70  -118.6800     -53.320 0.3337   0.5558E+00  0.1040E-02  0.0000E+00  0.0000E+00      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  71  -120.4000     -51.600 0.3355   0.5890E+00  0.1055E-02 -0.6677E-06  0.0000E+00      -1  -0.438E-07    0.00  0.0000E+00  0.0000E+00
  72  -122.1200     -49.880 0.3373   0.6221E+00  0.1071E-02  0.7407E-06  0.0000E+00      -1   0.486E-07    0.00  0.0000E+00  0.0000E+00
  73  -123.8400     -48.160 0.3391   0.6552E+00  0.1087E-02  0.1408E-05  0.0000E+00      -1   0.924E-07    0.00  0.0000E+00  0.0000E+00
  74  -125.5600     -46.440 0.3410   0.7031E+00  0.1103E-02 -0.8067E-06  0.0000E+00      -1  -0.529E-07    0.00  0.0000E+00  0.0000E+00
  75  -127.2800     -44.720 0.3429   0.7601E+00  0.1118E-02 -0.8067E-06  0.0000E+00      -1  -0.529E-07    0.00  0.0000E+00  0.0000E+00
  76  -129.0000     -43.000 0.3449   0.8171E+00  0.1133E-02  0.0000E+00  0.0000E+00      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  77  -130.7200     -41.280 0.3468   0.8740E+00  0.1149E-02 -0.9952E-06  0.0000E+00      -1  -0.653E-07    0.00  0.0000E+00  0.0000E+00
  78  -132.4400     -39.560 0.3488   0.9310E+00  0.1164E-02 -0.9952E-06  0.0000E+00      -1  -0.653E-07    0.00  0.0000E+00  0.0000E+00
  79  -134.1600     -37.840 0.3508   0.9880E+00  0.1179E-02  0.0000E+00  0.0000E+00      -1   0.000E+00    0.00  0.0000E+00  0.0000E+00
  80  -135.8800     -36.120 0.3528   0.1076E+01  0.1191E-02 -0.1238E-05  0.0000E+00      -1  -0.812E-07    0.00  0.0000E+00  0.0000E+00
  81  -137.6000     -34.400 0.3549   0.1169E+01  0.1203E-02 -0.1238E-05  0.0000E+00      -1  -0.812E-07    0.00  0.0000E+00  0.0000E+00
  82  -139.3200     -32.680 0.3570   0.1261E+01  0.1215E-02  0.5768E-05  0.0000E+00      -1   0.378E-06    0.00  0.0000E+00  0.0000E+00
  83  -141.0400     -30.960 0.3591   0.1354E+01  0.1227E-02  0.4970E-05  0.0000E+00      -1   0.326E-06    0.00  0.0000E+00  0.0000E+00
  84  -142.7600     -29.240 0.3612   0.1463E+01  0.1237E-02 -0.1667E-05  0.0000E+00      -1  -0.109E-06    0.00  0.0000E+00  0.0000E+00
  85  -144.4800     -27.520 0.3633   0.1606E+01  0.1242E-02 -0.8689E-06  0.0000E+00      -1  -0.570E-07    0.00  0.0000E+00  0.0000E+00
  86  -146.2000     -25.800 0.3655   0.1748E+01  0.1247E-02 -0.1030E-05  0.0000E+00      -1  -0.676E-07    0.00  0.0000E+00  0.0000E+00
  87  -147.9200     -24.080 0.3676   0.1890E+01  0.1253E-02 -0.2154E-05  0.0000E+00      -1  -0.141E-06    0.00  0.0000E+00  0.0000E+00
  88  -149.6400     -22.360 0.3698   0.2081E+01  0.1251E-02 -0.1124E-05  0.0000E+00      -1  -0.738E-07    0.00  0.0000E+00  0.0000E+00
  89  -151.3600     -20.640 0.3719   0.2289E+01  0.1247E-02 -0.1355E-05  0.0000E+00      -1  -0.889E-07    0.00  0.0000E+00  0.0000E+00
  90  -153.0800     -18.920 0.3741   0.2496E+01  0.1244E-02 -0.2848E-05  0.0000E+00      -1  -0.187E-06    0.00  0.0000E+00  0.0000E+00
  91  -154.8000     -17.200 0.3762   0.2779E+01  0.1229E-02 -0.1493E-05  0.0000E+00      -1  -0.980E-07    0.00  0.0000E+00  0.0000E+00
  92  -156.5200     -15.480 0.3783   0.3070E+01  0.1213E-02 -0.1839E-05  0.0000E+00      -1  -0.121E-06    0.00  0.0000E+00  0.0000E+00
  93  -158.2400     -13.760 0.3803   0.3426E+01  0.1188E-02 -0.2811E-05  0.0000E+00      -1  -0.184E-06    0.00  0.0000E+00  0.0000E+00
  94  -159.9600     -12.040 0.3824   0.3819E+01  0.1158E-02  0.1600E-04  0.0000E+00      -1   0.105E-05    0.00  0.0000E+00  0.0000E+00
  95  -161.6800     -10.320 0.3843   0.4317E+01  0.1114E-02  0.1437E-04  0.0000E+00      -1   0.943E-06    0.00  0.0000E+00  0.0000E+00
  96  -163.4000      -8.600 0.3862   0.4895E+01  0.1061E-02 -0.4016E-05  0.0000E+00      -1  -0.264E-06    0.00  0.0000E+00  0.0000E+00
  97  -165.1200      -6.880 0.3880   0.5607E+01  0.9914E-03 -0.3034E-05  0.0000E+00      -1  -0.199E-06    0.00  0.0000E+00  0.0000E+00
  98  -166.8400      -5.160 0.3896   0.6518E+01  0.9002E-03 -0.4601E-05  0.0000E+00      -1  -0.302E-06    0.00  0.0000E+00  0.0000E+00
  99  -168.5600      -3.440 0.3911   0.7743E+01  0.7773E-03 -0.6080E-05  0.0000E+00      -1  -0.399E-06    0.00  0.0000E+00  0.0000E+00
 100  -170.2800      -1.720 0.3923   0.9622E+01  0.5940E-03 -0.7803E-05  0.0000E+00      -1  -0.512E-06    0.00  0.0000E+00  0.0000E+00
 101  -172.0000       0.000 0.3930   0.1665E+02  0.0000E+00 -0.9396E-05  0.0000E+00      -1  -0.617E-06    0.00  0.0000E+00  0.0000E+00
end


 Time:      365.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000    -148.332 0.3098   0.3877E+00  0.5321E-03 -0.1988E+00  0.3386E-02      -1  -0.130E-01    0.00  0.0000E+00  0.0000E+00
   2    -1.7200    -147.474 0.3102   0.3943E+00  0.5343E-03 -0.1930E+00  0.3336E-02      -1  -0.127E-01    0.00  0.0000E+00  0.0000E+00
   3    -3.4400    -146.576 0.3108   0.4013E+00  0.5365E-03 -0.1873E+00  0.3285E-02      -1  -0.123E-01    0.00  0.0000E+00  0.0000E+00
   4    -5.1600    -145.640 0.3113   0.4084E+00  0.5388E-03 -0.1817E+00  0.3234E-02      -1  -0.119E-01    0.00  0.0000E+00  0.0000E+00
   5    -6.8800    -144.667 0.3118   0.4159E+00  0.5412E-03 -0.1762E+00  0.3184E-02      -1  -0.116E-01    0.00  0.0000E+00  0.0000E+00
