 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro

       Time          rTop        rRoot        vTop         vRoot        vBot       sum(rTop)   sum(rRoot)    sum(vTop)   sum(vRoot)    sum(vBot)      hTop         hRoot        hBot        RunOff    sum(RunOff)     Volume     sum(Infil)    sum(Evap) TLevel Cum(WTrans)  SnowLayer
        [T]         [L/T]        [L/T]        [L/T]        [L/T]        [L/T]         [L]          [L]          [L]         [L]           [L]         [L]           [L]         [L]          [L/T]         [L]          [L]          [L]          [L]

     290.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.91866E+02  0.90154E+02 -0.91866E+02  0.88098E+02 -0.26415E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.12625E+03  0.34382E+02    301  0.00000E+00      0.000
     300.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.95031E+02  0.93259E+02 -0.95031E+02  0.91133E+02 -0.27716E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.13060E+03  0.35566E+02    311  0.00000E+00      0.000
     310.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.98195E+02  0.96365E+02 -0.98195E+02  0.94167E+02 -0.29017E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.13495E+03  0.36751E+02    321  0.00000E+00      0.000
     320.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.10136E+03  0.99471E+02 -0.10136E+03  0.97202E+02 -0.30318E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.13930E+03  0.37935E+02    331  0.00000E+00      0.000
     330.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.10452E+03  0.10258E+03 -0.10452E+03  0.10024E+03 -0.31620E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.14364E+03  0.39119E+02    341  0.00000E+00      0.000
     340.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.10769E+03  0.10568E+03 -0.10769E+03  0.10327E+03 -0.32921E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.14799E+03  0.40304E+02    351  0.00000E+00      0.000
     350.2924 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.11085E+03  0.10879E+03 -0.11085E+03  0.10631E+03 -0.34222E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.15234E+03  0.41488E+02    361  0.00000E+00      0.000
     360.1462 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.11397E+03  0.11185E+03 -0.11397E+03  0.10930E+03 -0.35504E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.15663E+03  0.42655E+02    371  0.00000E+00      0.000
     365.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.11551E+03  0.11336E+03 -0.11551E+03  0.11077E+03 -0.36135E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.15874E+03  0.43230E+02    376  0.00000E+00      0.000
     370.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.11709E+03  0.11491E+03 -0.11709E+03  0.11229E+03 -0.36786E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.16091E+03  0.43822E+02    381  0.00000E+00      0.000
     380.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.12025E+03  0.11801E+03 -0.12025E+03  0.11532E+03 -0.38087E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.16526E+03  0.45007E+02    391  0.00000E+00      0.000
     390.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.12342E+03  0.12112E+03 -0.12342E+03  0.11835E+03 -0.39388E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.16961E+03  0.46191E+02    401  0.00000E+00      0.000
     400.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.12658E+03  0.12422E+03 -0.12658E+03  0.12139E+03 -0.40689E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.17396E+03  0.47375E+02    411  0.00000E+00      0.000
     410.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.12975E+03  0.12733E+03 -0.12975E+03  0.12442E+03 -0.41991E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.17831E+03  0.48560E+02    421  0.00000E+00      0.000
     420.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.13291E+03  0.13044E+03 -0.13291E+03  0.12746E+03 -0.43292E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.18266E+03  0.49744E+02    431  0.00000E+00      0.000
     430.0000 -0.31646E+00  0.31056E+00 -0.31646E+00  0.30345E+00 -0.13011E-01 -0.13608E+03  0.13354E+03 -0.13608E+03  0.13049E+03 -0.44593E+01 -0.75279E+02 -0.48031E+02  0.00000E+00  0.00000E+00  0.00000E+00  0.43673E+02  0.18701E+03  0.50929E+02    441  0.00000E+00      0.000
