 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro


 Time:        0.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

  79   -93.6000     -26.400 0.3867   0.6916E+00  0.1105E-02 -0.6132E-06  0.1139E-02      -1  -0.587E-07    0.00  0.0000E+00  0.0000E+00
  80   -94.8000     -25.200 0.3880   0.7303E+00  0.1108E-02 -0.4886E-06  0.1087E-02      -1  -0.468E-07    0.00  0.0000E+00  0.0000E+00
  81   -96.0000     -24.000 0.3893   0.7690E+00  0.1111E-02  0.2485E-05  0.9662E-03      -1   0.238E-06    0.00  0.0000E+00  0.0000E+00
  82   -97.2000     -22.800 0.3906   0.8200E+00  0.1110E-02 -0.7435E-06  0.8392E-03      -1  -0.712E-07    0.00  0.0000E+00  0.0000E+00
  83   -98.4000     -21.600 0.3920   0.8763E+00  0.1108E-02 -0.5667E-06  0.7205E-03      -1  -0.543E-07    0.00  0.0000E+00  0.0000E+00
  84   -99.6000     -20.400 0.3933   0.9325E+00  0.1106E-02 -0.8348E-06  0.6101E-03      -1  -0.800E-07    0.00  0.0000E+00  0.0000E+00
  85  -100.8000     -19.200 0.3946   0.9887E+00  0.1103E-02 -0.6428E-06  0.5079E-03      -1  -0.616E-07    0.00  0.0000E+00  0.0000E+00
  86  -102.0000     -18.000 0.3959   0.1059E+01  0.1097E-02  0.3414E-05  0.4141E-03      -1   0.327E-06    0.00  0.0000E+00  0.0000E+00
  87  -103.2000     -16.800 0.3973   0.1137E+01  0.1088E-02 -0.1038E-05  0.3285E-03      -1  -0.994E-07    0.00  0.0000E+00  0.0000E+00
  88  -104.4000     -15.600 0.3986   0.1216E+01  0.1079E-02 -0.7769E-06  0.2512E-03      -1  -0.744E-07    0.00  0.0000E+00  0.0000E+00
  89  -105.6000     -14.400 0.3999   0.1305E+01  0.1067E-02 -0.6830E-06  0.1822E-03      -1  -0.654E-07    0.00  0.0000E+00  0.0000E+00
  90  -106.8000     -13.200 0.4011   0.1411E+01  0.1049E-02 -0.9660E-06  0.1215E-03      -1  -0.925E-07    0.00  0.0000E+00  0.0000E+00
  91  -108.0000     -12.000 0.4024   0.1517E+01  0.1032E-02  0.3633E-05  0.6901E-04      -1   0.348E-06    0.00  0.0000E+00  0.0000E+00
  92  -109.2000     -10.800 0.4036   0.1650E+01  0.1008E-02 -0.1547E-05  0.2484E-04      -1  -0.148E-06    0.00  0.0000E+00  0.0000E+00
  93  -110.4000      -9.600 0.4048   0.1790E+01  0.9815E-03 -0.4168E-06  0.0000E+00      -1  -0.399E-07    0.00  0.0000E+00  0.0000E+00
  94  -111.6000      -8.400 0.4060   0.1961E+01  0.9473E-03 -0.1084E-05  0.0000E+00      -1  -0.104E-06    0.00  0.0000E+00  0.0000E+00
  95  -112.8000      -7.200 0.4071   0.2148E+01  0.9090E-03 -0.1406E-05  0.0000E+00      -1  -0.135E-06    0.00  0.0000E+00  0.0000E+00
  96  -114.0000      -6.000 0.4081   0.2375E+01  0.8612E-03  0.5692E-05  0.0000E+00      -1   0.545E-06    0.00  0.0000E+00  0.0000E+00
  97  -115.2000      -4.800 0.4091   0.2651E+01  0.8025E-03 -0.2053E-05  0.0000E+00      -1  -0.197E-06    0.00  0.0000E+00  0.0000E+00
  98  -116.4000      -3.600 0.4101   0.2996E+01  0.7293E-03 -0.1202E-05  0.0000E+00      -1  -0.115E-06    0.00  0.0000E+00  0.0000E+00
  99  -117.6000      -2.400 0.4109   0.3459E+01  0.6326E-03 -0.3308E-05  0.0000E+00      -1  -0.317E-06    0.00  0.0000E+00  0.0000E+00
 100  -118.8000      -1.200 0.4116   0.4163E+01  0.4913E-03  0.1635E-06  0.0000E+00      -1   0.157E-07    0.00  0.0000E+00  0.0000E+00
 101  -120.0000       0.000 0.4120   0.7000E+01  0.0000E+00  0.1464E-04  0.0000E+00      -1   0.140E-05    0.00  0.0000E+00  0.0000E+00
end


 Time:      365.0000


 Node      Depth      Head Moisture       K          C         Flux        Sink         Kappa   v/KsTop   Temp   Conc(1..NS) Sorb(1...NS)
           [L]        [L]    [-]        [L/T]      [1/L]      [L/T]        [1/T]         [-]      [-]      [C]      [M/L*3]

   1     0.0000     -75.279 0.3342   0.3181E+00  0.8142E-03 -0.3165E+00  0.5176E-02      -1  -0.303E-01    0.00  0.0000E+00  0.0000E+00
   2    -1.2000     -75.260 0.3342   0.3183E+00  0.8143E-03 -0.3103E+00  0.5124E-02      -1  -0.297E-01    0.00  0.0000E+00  0.0000E+00
   3    -2.4000     -75.217 0.3342   0.3188E+00  0.8146E-03 -0.3042E+00  0.5072E-02      -1  -0.291E-01    0.00  0.0000E+00  0.0000E+00
   4    -3.6000     -75.149 0.3343   0.3196E+00  0.8150E-03 -0.2981E+00  0.5021E-02      -1  -0.286E-01    0.00  0.0000E+00  0.0000E+00
   5    -4.8000     -75.056 0.3344   0.3206E+00  0.8155E-03 -0.2921E+00  0.4969E-02      -1  -0.280E-01    0.00  0.0000E+00  0.0000E+00
   6    -6.0000     -74.936 0.3345   0.3220E+00  0.8162E-03 -0.2862E+00  0.4917E-02      -1  -0.274E-01    0.00  0.0000E+00  0.0000E+00
   7    -7.2000     -74.788 0.3346   0.3236E+00  0.8170E-03 -0.2803E+00  0.4865E-02      -1  -0.268E-01    0.00  0.0000E+00  0.0000E+00
   8    -8.4000     -74.614 0.3348   0.3256E+00  0.8180E-03 -0.2745E+00  0.4814E-02      -1  -0.263E-01    0.00  0.0000E+00  0.0000E+00
   9    -9.6000     -74.412 0.3349   0.3278E+00  0.8192E-03 -0.2688E+00  0.4762E-02      -1  -0.257E-01    0.00  0.1145E-29  0.0000E+00
  10   -10.8000     -74.181 0.3351   0.3304E+00  0.8205E-03 -0.2631E+00  0.4710E-02      -1  -0.252E-01    0.00  0.7238E-29  0.0000E+00
  11   -12.0000     -73.922 0.3354   0.3333E+00  0.8220E-03 -0.2575E+00  0.4658E-02      -1  -0.247E-01    0.00  0.2023E-28  0.0000E+00
  12   -13.2000     -73.635 0.3356   0.3365E+00  0.8236E-03 -0.2519E+00  0.4607E-02      -1  -0.241E-01    0.00  0.4927E-28  0.0000E+00
  13   -14.4000     -73.318 0.3359   0.3401E+00  0.8254E-03 -0.2464E+00  0.4555E-02      -1  -0.236E-01    0.00  0.1153E-27  0.0000E+00
  14   -15.6000     -72.973 0.3362   0.3439E+00  0.8274E-03 -0.2410E+00  0.4503E-02      -1  -0.231E-01    0.00  0.2661E-27  0.0000E+00
  15   -16.8000     -72.600 0.3365   0.3481E+00  0.8296E-03 -0.2356E+00  0.4451E-02      -1  -0.226E-01    0.00  0.6115E-27  0.0000E+00
  16   -18.0000     -72.198 0.3368   0.3526E+00  0.8319E-03 -0.2303E+00  0.4400E-02      -1  -0.221E-01    0.00  0.1406E-26  0.0000E+00
  17   -19.2000     -71.767 0.3372   0.3574E+00  0.8343E-03 -0.2250E+00  0.4348E-02      -1  -0.216E-01    0.00  0.3237E-26  0.0000E+00
  18   -20.4000     -71.308 0.3376   0.3625E+00  0.8369E-03 -0.2198E+00  0.4296E-02      -1  -0.211E-01    0.00  0.7480E-26  0.0000E+00
  19   -21.6000     -70.822 0.3380   0.3680E+00  0.8397E-03 -0.2147E+00  0.4244E-02      -1  -0.206E-01    0.00  0.1734E-25  0.0000E+00
  20   -22.8000     -70.309 0.3384   0.3737E+00  0.8426E-03 -0.2097E+00  0.4193E-02      -1  -0.201E-01    0.00  0.4033E-25  0.0000E+00
  21   -24.0000     -69.769 0.3389   0.3798E+00  0.8457E-03 -0.2047E+00  0.4141E-02      -1  -0.196E-01    0.00  0.9416E-25  0.0000E+00
  22   -25.2000     -69.202 0.3394   0.3861E+00  0.8490E-03 -0.1997E+00  0.4089E-02      -1  -0.191E-01    0.00  0.2206E-24  0.0000E+00
