 ******* Program HYDRUS
 ******* 
 Welcome to HYDRUS-1D                                                    
 Date:  26. 3.2026    Time:   3: 9:11
 Units: L = cm   , T = days , M = micro


    n      depth     THr       THs       hs       Ks        Ks/KsTop     Beta      Ah        AK        ATh
   91    108.00     0.074     0.412       0.0   0.700E+01     0.670     0.002     1.000     1.000     1.000
   92    109.20     0.074     0.412       0.0   0.700E+01     0.670     0.002     1.000     1.000     1.000
   93    110.40     0.074     0.412       0.0   0.700E+01     0.670     0.001     1.000     1.000     1.000
   94    111.60     0.074     0.412       0.0   0.700E+01     0.670     0.001     1.000     1.000     1.000
   95    112.80     0.074     0.412       0.0   0.700E+01     0.670     0.001     1.000     1.000     1.000
   96    114.00     0.074     0.412       0.0   0.700E+01     0.670     0.001     1.000     1.000     1.000
   97    115.20     0.074     0.412       0.0   0.700E+01     0.670     0.001     1.000     1.000     1.000
   98    116.40     0.074     0.412       0.0   0.700E+01     0.670     0.001     1.000     1.000     1.000
   99    117.60     0.074     0.412       0.0   0.700E+01     0.670     0.000     1.000     1.000     1.000
  100    118.80     0.074     0.412       0.0   0.700E+01     0.670     0.000     1.000     1.000     1.000
  101    120.00     0.074     0.412       0.0   0.700E+01     0.670     0.000     1.000     1.000     1.000
end
